account_id,feature_name,times_used,first_used_date,last_used_date
ACC-102002,workflow_automation,5,2023-08-15,29-Aug-2023
ACC-102002,advanced_analytics,11,2023-07-07,03/08/2023
ACC-102002,bulk_import,27,2023-09-02,2023-09-10
ACC-102002,custom_branding,42,07/28/2023,2023-09-01
ACC-102002,sandbox_environment,35,2023-08-07,31/08/2023
ACC-100808,dashboard,22,11/11/2023,2024-05-11
ACC-100808,api_access,24,2023-10-05,2024-03-11
ACC-100808,integrations_slack,399,2023-04-04,
ACC-100808,custom_reports,26,07/15/2024,06/21/2025
ACC-100808,data_export,37,2025-10-19,07/11/2025
ACC-100808,in_app_chat_support,16,2023-12-24,2025-08-04
ACC-100808,advanced_analytics,75,2024-01-09,
ACC-100808,sandbox_environment,14,24/04/2025,2025-11-11
ACC-101379,integrations_salesforce,40,2025-11-06,11/01/2026
ACC-101379,audit_logs,1,2025-01-24,2025-11-21
ACC-101379,webhooks,86,26/01/2026,04/10/2026
ACC-105818,custom_reports,22,2024-11-02,2024-12-17
ACC-105818,in_app_chat_support,149,12/02/2024,16-Dec-2024
ACC-105818,bulk_import,15,2024-11-03,2024/11/03
ACC-105818,sandbox_environment,14,2024-10-20,2024-11-01
ACC-105751,integrations_slack,19,04/01/2025,2025-06-06
ACC-105751,integrations_salesforce,11,2023-11-29,07-Sep-2025
ACC-105751,sso_login,30,02-Jan-2024,11/05/2024
ACC-105751,mobile_app,108,2025-10-04,2025-10-26
ACC-105751,advanced_analytics,52,08-Jun-2025,14/07/2025
ACC-100553,api_access,37,2026/02/02,07/04/2026
ACC-100553,integrations_slack,35,10/04/2026,2026-04-25
ACC-100553,workflow_automation,9,10/30/2025,09/04/2026
ACC-100553,audit_logs,13,2026-05-19,06/01/2026
ACC-100553,billing_portal,21,2026-05-14,17-May-2026
ACC-100553,in_app_chat_support,53,2026-01-27,2026-04-15
ACC-100553,advanced_analytics,64,2025-10-25,12/30/2025
ACC-100553,custom_branding,82,2026-04-21,28-Apr-2026
ACC-100553,sandbox_environment,2,2025-08-27,2025-12-08
ACC-104793,custom_reports,44,2025/04/28,03-Sep-2025
ACC-104793,workflow_automation,20,01/31/2026,2026-02-08
ACC-104793,data_export,24,06/20/2025,31-Mar-2026
ACC-104793,mobile_app,96,2026-01-31,2026-04-29
ACC-104793,audit_logs,67,2026-01-30,05/10/2026
ACC-104793,billing_portal,31,2025-08-09,08/09/2025
ACC-104793,in_app_chat_support,34,2025-04-13,02/13/2026
ACC-104793,advanced_analytics,5,2025-10-26,05/04/2026
ACC-104793,custom_branding,16,17/06/2025,2026-04-04
ACC-104793,sandbox_environment,14,2026-02-02,05/02/2026
ACC-103246,dashboard,49,2024-05-08,05/19/2024
ACC-103246,api_access,82,01/05/2025,2026-01-21
ACC-103246,integrations_slack,52,15/12/2022,2023-07-10
ACC-103246,custom_reports,70,2026-02-23,27-Mar-2026
ACC-103246,team_permissions,67,2024-05-11,2025-07-14
ACC-103246,mobile_app,61,2023-11-28,2025-05-01
ACC-103246,audit_logs,21,2024/03/18,17-Dec-2025
ACC-103246,billing_portal,15,11/14/2022,12/21/2025
ACC-103246,in_app_chat_support,42,11-Jun-2023,2023-10-08
ACC-103246,custom_branding,31,02/05/2024,2024-10-06
ACC-104399,team_permissions,110,08/05/2025,08/05/2025
ACC-104399,sso_login,5,02/28/2023,2023-06-13
ACC-104399,data_export,47,2022-11-18,2024-04-09
ACC-104399,mobile_app,122,27/10/2022,12/27/2024
ACC-104399,webhooks,23,2023-10-02,27/12/2023
ACC-104399,bulk_import,53,03/02/2024,2025-03-07
ACC-104399,sandbox_environment,13,2023-05-05,2024-11-23
ACC-103157,api_access,81,2024-07-06,08/03/2025
ACC-103157,audit_logs,34,09-Apr-2025,10-Apr-2025
ACC-103157,billing_portal,7,2023-10-18,2024-12-15
ACC-103157,advanced_analytics,31,02/16/2025,28-Feb-2025
ACC-103157,sandbox_environment,12,26/02/2024,28-Feb-2025
ACC-103539,integrations_slack,52,2024-08-22,20-Jan-2026
ACC-103539,integrations_salesforce,24,2025-07-13,2025-10-09
ACC-103539,data_export,32,05/08/2025,2025-10-13
ACC-103539,advanced_analytics,109,2024-06-22,26-Nov-2025
ACC-102517,integrations_salesforce,9,2026-03-08,2026-04-15
ACC-102517,custom_reports,30,2025-07-08,08/27/2025
ACC-102517,team_permissions,5,03/04/2026,04/05/2026
ACC-102517,sso_login,34,2025-12-02,2026-01-11
ACC-102517,workflow_automation,20,2026-02-05,2026-03-31
ACC-102517,data_export,32,2025-11-09,2026-04-17
ACC-102517,mobile_app,36,2025-11-02,2025-12-26
ACC-102517,advanced_analytics,183,2026/01/04,2026-04-27
ACC-104504,integrations_salesforce,24,23/07/2024,2024-11-29
ACC-104504,team_permissions,16,31-Aug-2023,2024/06/04
ACC-104504,sso_login,16,04/29/2023,2024-06-26
ACC-104504,mobile_app,11,12/10/2024,11/19/2024
ACC-104504,audit_logs,22,2024-08-07,2025-03-05
ACC-104504,webhooks,20,23/10/2024,11/18/2024
ACC-104504,billing_portal,6,21-Mar-2024,2024/06/28
ACC-104504,bulk_import,43,07/09/2023,09/23/2023
ACC-104504,custom_branding,54,2023-07-04,09/06/2023
ACC-105610,integrations_slack,11,05/10/2026,05/13/2026
ACC-105610,integrations_salesforce,12,2026-02-03,
ACC-105610,sso_login,15,28-Nov-2025,2026-03-12
ACC-105610,mobile_app,13,14-Jun-2023,2025-06-15
ACC-105610,advanced_analytics,7,17/04/2026,2026-05-19
ACC-105610,bulk_import,16,06/17/2024,03/26/2026
ACC-105610,custom_branding,4,08/08/2024,2026-01-16
ACC-102364,api_access,9,01-Dec-2023,02/07/2026
ACC-102364,sso_login,40,2025-01-07,26-Dec-2025
ACC-102364,workflow_automation,29,09/28/2023,2026-03-12
ACC-102364,in_app_chat_support,41,15-Sep-2023,2026-03-27
ACC-102364,sandbox_environment,6,2023-05-02,2025-03-17
ACC-100535,integrations_slack,81,08/30/2025,2025-10-12
ACC-100535,integrations_salesforce,12,14-Jun-2025,10/06/2025
ACC-100535,workflow_automation,32,2025-05-10,2025-10-12
ACC-100535,mobile_app,66,15/11/2025,2026-02-06
ACC-100535,webhooks,11,15-Sep-2025,2025/10/12
ACC-103857,dashboard,30,2025-10-17,2026-01-23
ACC-103857,api_access,82,2025-07-03,2025-10-19
ACC-103857,integrations_slack,3,2025/06/03,23/12/2025
ACC-103857,team_permissions,21,02-Jan-2026,2026-05-22
ACC-103857,workflow_automation,12,2026-02-17,19-Feb-2026
ACC-103857,data_export,31,2025-07-16,06/01/2026
ACC-103857,mobile_app,9,2025-07-16,2026-05-31
ACC-103857,audit_logs,27,2025-10-10,2026-02-27
ACC-103857,webhooks,12,2025-10-20,2025-11-22
ACC-103857,billing_portal,18,2026-04-19,05/24/2026
ACC-103857,custom_branding,131,2025-09-19,2025/11/14
ACC-101421,dashboard,8,2025-04-29,12-Apr-2026
ACC-101421,api_access,23,2026-03-29,2026-04-10
ACC-101421,custom_reports,3,2025-02-16,2026-04-20
ACC-101421,team_permissions,64,08/11/2025,2026-04-13
ACC-101421,workflow_automation,57,2026-04-05,
ACC-101421,audit_logs,60,2025-06-23,2026/03/29
ACC-101421,webhooks,12,2025-07-29,12/28/2025
ACC-101421,billing_portal,44,2026/04/16,2026-04-27
ACC-101421,in_app_chat_support,30,11-Feb-2026,2026-03-01
ACC-101421,bulk_import,48,2025-10-12,03/16/2026
ACC-101543,api_access,14,2026-03-04,05/22/2026
ACC-101543,team_permissions,29,2026-04-27,05/26/2026
ACC-101543,data_export,42,01/24/2026,09/04/2026
ACC-101543,audit_logs,53,2026-02-28,2026-05-09
ACC-101543,webhooks,52,2026-05-25,2026-05-30
ACC-101543,bulk_import,33,2026-04-26,05/02/2026
ACC-104722,custom_reports,17,12/20/2023,27/04/2024
ACC-104722,workflow_automation,62,2025-10-26,2026-01-29
ACC-104722,mobile_app,2,2026-01-12,05/26/2026
ACC-104722,in_app_chat_support,23,21-Jun-2025,2025-10-30
ACC-104722,bulk_import,20,2023-05-30,03/31/2025
ACC-103381,api_access,143,04/22/2023,2024-08-17
ACC-103381,integrations_slack,8,28/01/2024,03/17/2024
ACC-103381,sso_login,64,2024-05-08,02/03/2025
ACC-103381,workflow_automation,15,2023-09-20,2024-08-01
ACC-103381,audit_logs,29,27-Jul-2023,06-Feb-2025
ACC-103381,billing_portal,77,08/29/2022,2025-09-22
ACC-103381,in_app_chat_support,48,2023-08-29,2024-11-12
ACC-103381,bulk_import,17,2023-04-27,2025-07-24
ACC-103381,custom_branding,52,2025-04-06,2026-03-01
