subscription_id,account_id,plan_tier,seats,mrr,currency,discount_pct,billing_cycle,payment_method,start_date,end_date
SUB-000033,ACC-105646,Pro,3,271,USD,0,Monthly,Invoice,01/29/2022,
SUB-000034,ACC-101451,Pro,1,216.20,EUR,0,Monthly,Credit Card,2022-11-09,
SUB-000035,ACC-104867,Starter,1,47,EUR,0,Monthly,Credit Card,01/20/2023,2024-06-20
SUB-000036,ACC-104366,Pro,3,281.14,USD,0,Monthly,Credit Card,2024-03-16,
SUB-000037,ACC-101383,Enterprise,3,"$ 2,569",USD,0,Monthly,Invoice,2022-05-07,
SUB-000038,ACC-103941,Starter,1,$ 51,USD,0,Annual,,2022-03-02,2024-06-11
SUB-000039,ACC-103941,Enterprise,3,"2,360.61",USD,10,Monthly,Credit Card,2024-06-11,
SUB-000040,ACC-104356,Pro,2,245,USD,0,Annual,credit card,2024-11-04,04-Nov-2025
SUB-000041,ACC-104447,Starter,2,€ 45,EUR,20,Monthly,Invoice,03/12/2022,2023-12-12
SUB-000042,ACC-101747,Business,4,781.92,USD,0,Annual,Credit Card,02/14/2024,
SUB-000043,ACC-104650,Pro,3,$257.92,USD,0,Monthly,Credit Card,2022-02-05,
SUB-000044,ACC-102441,Business,4,738.79,USD,25,Monthly,ACH,01/23/2024,12-Oct-2025
SUB-000045,ACC-102441,Starter,3,54.96,USD,10,Monthly,Invoice,10/12/2025,
SUB-000046,ACC-103624,Starter,1,52.93,EUR,0,Monthly,Invoice,2022/06/12,2025-01-09
SUB-000047,ACC-103624,Business,1,632.72,EUR,0,Monthly,credit card,2025-01-09,
SUB-000048,ACC-103711,Enterprise,1,1974,USD,0,Monthly,Invoice,2023-06-21,10/04/2023
SUB-000049,ACC-103711,Business,7,$816.30,USD,25,Monthly,Credit Card,04/10/2023,
SUB-000050,ACC-105278,Pro,2,$239.68,USD,0,Monthly,Credit Card,2022/04/02,
SUB-000051,ACC-103982,Starter,2,61.42,USD,0,Monthly,ACH,26-Aug-2023,
SUB-000052,ACC-101088,Starter,3,$58.20,USD,0,Annual,Credit Card,15-Mar-2023,2025-04-15
SUB-000053,ACC-102934,Pro,2,225,USD,0,Monthly,Credit Card,2023-12-04,
SUB-000054,ACC-105974,Enterprise,2,"2,415.15",USD,0,Monthly,Credit Card,2024-12-01,01-Oct-2025
SUB-000055,ACC-100534,Starter,3,63.86,USD,0,Monthly,Credit Card,07/03/2025,
SUB-000056,ACC-105441,Starter,1,$ 55,USD,0,Annual,credit card,2024-04-24,2024-05-26
SUB-000057,ACC-105441,Enterprise,4,"2,691.99",USD,0,Monthly,Credit Card,2024-05-26,2024-06-24
SUB-000058,ACC-101832,Enterprise,5,"3,550.89",USD,0,Monthly,Credit Card,2022-02-26,
SUB-000059,ACC-102603,Pro,6,368,EUR,0,Monthly,Credit Card,17-Nov-2024,
SUB-000060,ACC-104518,Pro,2,$218.04,USD,0,Monthly,,02/17/2024,
SUB-000061,ACC-105995,Starter,2,64.10,USD,0,Monthly,Credit Card,10-Aug-2022,
SUB-000062,ACC-100879,Pro,9,$ 405,USD,0,Monthly,Credit Card,2024-02-05,2024/03/26
SUB-000063,ACC-100879,Business,3,$880.88,USD,0,Annual,Credit Card,26-Mar-2024,
SUB-000064,ACC-105890,Business,1,662.73,USD,0,Monthly,Invoice,23/10/2022,06/23/2025
SUB-000065,ACC-103289,Pro,4,263.10,USD,0,Monthly,Credit Card,2022-01-16,02/16/2024
SUB-000066,ACC-102002,Pro,2,$ 208,USD,0,Monthly,ACH,06/13/2023,23/07/2023
SUB-000067,ACC-102002,Starter,4,75.82,USD,5,Monthly,credit card,07/23/2023,13/09/2023
SUB-000068,ACC-100808,Business,3,€ 725,EUR,0,Monthly,Credit Card,05/06/2022,
SUB-000069,ACC-101379,Starter,4,73,USD,0,Annual,Invoice,2023-09-07,
SUB-000070,ACC-105818,Pro,1,215.88,USD,0,Annual,Credit Card,2024-09-02,2025-01-02
SUB-000071,ACC-105751,Starter,2,£55.47,GBP,0,Monthly,credit card,2023-11-11,06/11/2025
SUB-000072,ACC-105751,Pro,3,245,GBP,0,Annual,Credit Card,2025-11-06,11/11/2025
SUB-000073,ACC-100553,Pro,2,$158.16,USD,25,Monthly,Credit Card,05/16/2025,
SUB-000074,ACC-104793,Pro,2,179.56,USD,15,Monthly,Credit Card,2025-04-07,
SUB-000075,ACC-103246,Business,1,565.28,USD,0,Monthly,Credit Card,07/09/2022,
SUB-000076,ACC-104399,Pro,2,228,USD,0,Monthly,Credit Card,08/05/2022,2025-08-05
SUB-000077,ACC-103157,Starter,2,$ 59,USD,0,Annual,Credit Card,2023-09-09,2025-04-09
SUB-000078,ACC-103539,Pro,4,288.71,USD,0,Monthly,ACH,06/07/2024,08/23/2024
SUB-000079,ACC-103539,Starter,2,62.10,USD,0,Monthly,credit card,08/23/2024,
SUB-000080,ACC-102517,Business,2,737.78,USD,0,Monthly,Invoice,06/02/2025,2025-12-23
SUB-000081,ACC-102517,Starter,3,63.13,USD,5,Monthly,ACH,2025-12-23,
SUB-000082,ACC-104504,Business,1,$ 688,USD,0,Annual,credit card,2023/04/22,22-Mar-2025
SUB-000083,ACC-105610,Business,2,$685.15,USD,0,Monthly,,05/24/2023,
SUB-000084,ACC-102364,Pro,2,219.20,USD,0,Monthly,Credit Card,2023-01-08,2025-12-17
SUB-000085,ACC-102364,Business,2,$556.66,USD,20,Monthly,Credit Card,17/12/2025,04/08/2026
SUB-000086,ACC-100535,Pro,3,$241.58,USD,0,Monthly,ACH,2025-04-26,2026-01-30
SUB-000087,ACC-100535,Business,6,824.62,USD,25,Monthly,Invoice,2026-01-30,
SUB-000088,ACC-103857,Enterprise,3,"2,883.45",USD,0,Monthly,Credit Card,2025/02/21,
SUB-000089,ACC-101421,Enterprise,4,"£2,667.14",GBP,0,Annual,credit card,2024-11-12,2025-01-25
SUB-000090,ACC-101421,Starter,1,40.16,GBP,10,Annual,,25/01/2025,2025-04-19
SUB-000091,ACC-101421,Business,1,£558.95,GBP,0,Monthly,Credit Card,19-Apr-2025,
SUB-000092,ACC-101543,Pro,3,$ 256,USD,0,Monthly,Credit Card,2025-08-13,2026-03-23
SUB-000093,ACC-101543,Enterprise,4,"$3,046.67",USD,0,Annual,Credit Card,23/03/2026,2026-05-26
SUB-000094,ACC-101543,Pro,2,215.61,USD,0,Annual,,2026-05-26,
SUB-000095,ACC-104722,Pro,2,215,USD,0,Monthly,Credit Card,2023-03-23,
SUB-000096,ACC-103381,Business,2,$ 749,USD,0,Monthly,ACH,2022-01-16,
SUB-000097,ACC-104773,Business,4,940,USD,0,Monthly,Credit Card,12/06/2023,
SUB-000098,ACC-101512,Business,6,"$1,054.70",USD,0,Monthly,ACH,2025-06-25,13/05/2026
SUB-000099,ACC-101512,Enterprise,6,"$3,854.68",USD,0,Monthly,credit card,05/13/2026,2026-06-01
SUB-000100,ACC-101512,Pro,1,189,USD,0,Monthly,Credit Card,2026-06-01,
SUB-000101,ACC-105339,Starter,2,64.76,USD,0,Monthly,Credit Card,2024-08-11,15/12/2025
SUB-000102,ACC-105339,Enterprise,3,"$ 2,823",USD,0,Monthly,ACH,2025-12-15,
SUB-000103,ACC-100576,Pro,2,$235.43,USD,0,Monthly,Credit Card,2023/03/04,2023-07-09
SUB-000104,ACC-100576,Business,2,752.94,USD,0,Annual,ACH,2023-07-09,11/04/2023
SUB-000105,ACC-103567,Starter,6,82.04,USD,0,Annual,Credit Card,2024-01-24,
SUB-000106,ACC-103745,Pro,4,230.38,EUR,20,Monthly,Invoice,2023-07-08,2023-09-14
SUB-000107,ACC-103745,Enterprise,3,"2,522.57",EUR,0,Monthly,ACH,2023-09-14,08-Mar-2025
SUB-000108,ACC-102787,Pro,3,235,EUR,0,Annual,ACH,2024-07-14,06/14/2025
SUB-000109,ACC-102579,Business,3,869,USD,0,Monthly,ACH,2023/11/28,2026-03-01
SUB-000110,ACC-102579,Pro,3,255,USD,0,Monthly,ACH,03/01/2026,04/26/2026
SUB-000111,ACC-102579,Starter,2,51.09,USD,0,Monthly,Credit Card,2026/04/26,
SUB-000112,ACC-101397,Starter,1,46.96,USD,0,Monthly,Credit Card,08/16/2025,
SUB-000113,ACC-102450,Pro,1,207,USD,0,Monthly,Credit Card,26-Dec-2024,2025-09-03
SUB-000114,ACC-102450,Enterprise,3,"2,420.17",USD,0,Monthly,Credit Card,2025-09-03,
SUB-000115,ACC-102515,Business,1,$ 472,USD,25,Monthly,Invoice,01/21/2025,2026-01-11
SUB-000116,ACC-102515,Pro,4,$ 296,USD,0,Monthly,Credit Card,2026-01-11,
SUB-000117,ACC-105626,Pro,3,$287.76,USD,0,Monthly,Credit Card,09/17/2023,12/17/2025
SUB-000118,ACC-104696,Pro,1,192,USD,0,Monthly,,2025-07-28,
SUB-000119,ACC-104808,Pro,5,345.49,GBP,0,Monthly,Invoice,2022-05-07,10/03/2023
SUB-000120,ACC-104808,Starter,1,46,GBP,15,Monthly,Invoice,2023-10-03,
SUB-000121,ACC-105337,Pro,4,€243.22,EUR,25,Monthly,Credit Card,09/25/2023,2024-08-05
SUB-000122,ACC-105337,Enterprise,5,"3,602.79",EUR,0,Monthly,Credit Card,2024-08-05,13/11/2024
SUB-000123,ACC-105337,Starter,4,€65.28,EUR,0,Monthly,ACH,11/13/2024,06/25/2025
SUB-000124,ACC-100080,Starter,1,$45.52,USD,0,Monthly,,2022-06-08,2022-12-08
SUB-000125,ACC-103208,Pro,6,363,USD,0,Annual,Credit Card,2023-01-04,2024-01-27
SUB-000126,ACC-103208,Starter,1,$45.42,USD,0,Monthly,credit card,01/27/2024,2025-02-10
SUB-000127,ACC-103208,Enterprise,9,4927,USD,0,Monthly,Credit Card,02/10/2025,
SUB-000128,ACC-100586,Starter,4,€69.20,EUR,0,Monthly,Invoice,10/31/2022,2023-05-31
SUB-000129,ACC-101181,Starter,4,69.02,USD,0,Monthly,Invoice,2024-05-21,2024-12-02
SUB-000130,ACC-101181,Business,1,$503.11,USD,20,Monthly,ACH,12/02/2024,
SUB-000131,ACC-102521,Business,2,$561.05,USD,20,Monthly,Credit Card,12/29/2024,02-Feb-2025
SUB-000132,ACC-102521,Enterprise,5,2735,USD,10,Annual,Credit Card,02/02/2025,2026-02-05
SUB-000133,ACC-102521,Pro,5,344,USD,5,Monthly,,05/02/2026,
SUB-000134,ACC-100079,Pro,1,182.59,USD,0,Monthly,,2024-08-30,06/11/2024
SUB-000135,ACC-100079,Starter,2,$ 60,USD,0,Monthly,credit card,2024-11-06,15-Jan-2025
SUB-000136,ACC-100079,Pro,3,240.44,USD,0,Annual,Credit Card,2025-01-15,30-Apr-2025
SUB-000137,ACC-100476,Starter,4,72.74,USD,0,Monthly,Credit Card,07/01/2024,17-Jul-2025
SUB-000138,ACC-100476,Business,6,"1,101.35",USD,0,Annual,Credit Card,17/07/2025,05/04/2026
SUB-000139,ACC-100476,Enterprise,4,3165,USD,0,Monthly,Credit Card,2026-05-04,
SUB-000140,ACC-103770,Starter,3,70,USD,0,Monthly,ACH,2022-08-03,
SUB-000141,ACC-101760,Starter,1,$53.06,USD,0,Monthly,ACH,2022-05-23,2026/01/13
SUB-000142,ACC-101760,Business,2,$788.49,USD,0,Monthly,Invoice,2026-01-13,26/05/2026
SUB-000143,ACC-101760,Pro,2,209.53,USD,0,Monthly,Credit Card,2026-05-26,
SUB-000144,ACC-100023,Starter,1,55.72,USD,0,Monthly,ACH,2022-06-06,2022-08-02
SUB-000145,ACC-100023,Pro,1,224,USD,0,Monthly,Credit Card,08/02/2022,2022-08-06
SUB-000146,ACC-104678,Starter,2,63.28,EUR,0,Monthly,Credit Card,27-Feb-2022,2022-04-27
SUB-000147,ACC-102980,Enterprise,6,"3,687.14",USD,0,Monthly,,10/07/2023,
SUB-000148,ACC-101951,Starter,14,164.47,USD,0,Monthly,Credit Card,2022/05/07,2023-08-17
SUB-000149,ACC-101951,Pro,2,$ 225,USD,0,Monthly,ACH,2023-08-17,2026-05-13
SUB-000150,ACC-101951,Enterprise,3,"2,655.76",USD,0,Annual,ACH,13/05/2026,
SUB-000151,ACC-101973,Business,3,892.36,USD,0,Annual,ACH,2025-03-26,05-Apr-2026
SUB-000152,ACC-101973,Starter,3,$ 67,USD,0,Annual,ACH,2026-04-05,
SUB-000153,ACC-101942,Starter,5,64.96,USD,10,Monthly,Credit Card,03-Jan-2023,2023-07-19
SUB-000154,ACC-101942,Pro,3,273.89,USD,0,Monthly,Credit Card,2023/07/19,2024-03-03
SUB-000155,ACC-101509,Pro,1,168.59,USD,15,Monthly,Credit Card,2025-03-05,
SUB-000156,ACC-100228,Starter,4,$79.26,USD,0,Monthly,Invoice,2025-07-12,2026-05-11
SUB-000157,ACC-100228,Business,7,$920.30,USD,25,Annual,Credit Card,2026-05-11,01/06/2026
SUB-000158,ACC-100228,Enterprise,1,2255,USD,0,Monthly,Credit Card,2026-06-01,
SUB-000159,ACC-104647,Starter,5,78,USD,0,Monthly,,2024-09-04,2025-08-30
SUB-000160,ACC-104647,Enterprise,1,"$ 2,062",USD,0,Monthly,Invoice,2025-08-30,2026-03-04
SUB-000161,ACC-104813,Pro,1,189.47,USD,0,Monthly,Credit Card,17/05/2022,17-Oct-2022
SUB-000162,ACC-101728,Pro,1,$216.86,USD,0,Monthly,credit card,2022-08-01,2023-06-01
SUB-000163,ACC-101049,Pro,7,$343.72,USD,0,Monthly,,01-Apr-2022,
SUB-000164,ACC-101261,Enterprise,8,"€3,692.70",EUR,20,Monthly,Credit Card,04/03/2022,
SUB-000165,ACC-104325,Pro,1,223.29,USD,0,Monthly,ACH,2023-09-23,12/23/2024
SUB-000166,ACC-105296,Starter,1,$54.62,USD,0,Annual,Credit Card,2022/02/19,19-Apr-2022
SUB-000167,ACC-105617,Pro,1,176,USD,20,Monthly,credit card,2023-12-09,
SUB-000168,ACC-102770,Pro,3,$ 267,USD,0,Monthly,credit card,07/03/2022,2022-12-27
SUB-000169,ACC-102770,Starter,2,51,USD,5,Monthly,Credit Card,2022-12-27,2023-06-03
SUB-000170,ACC-101916,Enterprise,2,"2,561.16",USD,0,Monthly,Credit Card,06/01/2025,
SUB-000171,ACC-101617,Starter,3,$59.20,USD,10,Annual,Credit Card,2024/07/15,18/08/2024
SUB-000172,ACC-101617,Enterprise,5,"$3,599.21",USD,0,Monthly,ACH,18/08/2024,2025-03-15
SUB-000173,ACC-103044,Pro,8,$391.13,USD,0,Monthly,credit card,2024-04-01,01/12/2025
SUB-000174,ACC-100346,Pro,3,$267.20,USD,0,Monthly,ACH,03/20/2024,19/02/2026
SUB-000175,ACC-100346,Business,1,527,USD,10,Monthly,ACH,2026-02-19,2026-04-20
SUB-000176,ACC-105071,Pro,3,$ 260,USD,0,Annual,Credit Card,2025/01/14,14/05/2026
SUB-000177,ACC-100233,Starter,1,$ 51,USD,0,Monthly,Credit Card,2025-02-23,06/05/2025
SUB-000178,ACC-100233,Business,2,725.88,USD,0,Monthly,Credit Card,05/06/2025,
SUB-000179,ACC-103481,Starter,8,104.57,USD,-10,Monthly,Invoice,2024-02-17,02/17/2025
SUB-000180,ACC-104058,Business,1,452.87,USD,20,Monthly,Invoice,04/05/2025,2025-07-22
SUB-000181,ACC-104058,Enterprise,1,1996,USD,10,Annual,credit card,2025-07-22,
SUB-000182,ACC-100599,Pro,2,227.25,USD,0,Monthly,Credit Card,2024-10-05,03/17/2026
SUB-000183,ACC-100599,Enterprise,5,"$3,581.02",USD,0,Monthly,,17/03/2026,
SUB-000184,ACC-103680,Starter,1,55,EUR,0,Monthly,Credit Card,2024-07-05,2025-12-05
SUB-000185,ACC-103669,Starter,2,$ 60,USD,0,Monthly,Credit Card,2022-04-26,05/26/2023
SUB-000186,ACC-100037,Starter,2,52.92,USD,0,Monthly,Credit Card,2023-10-25,2026/05/25
SUB-000187,ACC-100465,Enterprise,1,"1,620.74",USD,10,Annual,Invoice,2024-06-13,09/13/2024
SUB-000188,ACC-105704,Enterprise,3,"2,536.89",EUR,0,Monthly,ACH,2023-10-02,2025-08-20
SUB-000189,ACC-105704,Starter,4,€ 79,EUR,0,Monthly,Invoice,2025-08-20,
SUB-000190,ACC-100932,Business,1,577.21,EUR,0,Monthly,Invoice,31/01/2022,2025-01-31
SUB-000191,ACC-105290,Pro,1,$ 209,USD,0,Monthly,Credit Card,2023/11/24,22/12/2025
SUB-000192,ACC-105290,Starter,3,68,USD,0,Annual,ACH,2025-12-22,
SUB-000193,ACC-102228,Pro,3,$ 290,USD,0,Monthly,Credit Card,02/05/2023,02/05/2024
SUB-000194,ACC-105054,Business,4,853.28,EUR,0,Monthly,Credit Card,2022-02-26,26/07/2023
SUB-000195,ACC-104741,Pro,2,$249.80,USD,0,Monthly,credit card,2025-04-09,
SUB-000196,ACC-100506,Starter,2,$ 53,USD,0,Monthly,ACH,11/05/2023,2024-01-12
SUB-000197,ACC-100506,Enterprise,1,"2,004.12",USD,10,Monthly,credit card,2024-01-12,
SUB-000198,ACC-100401,Pro,2,206.89,USD,15,Annual,Credit Card,2022-12-11,
SUB-000199,ACC-103780,Pro,1,199,EUR,0,Monthly,Credit Card,12/20/2022,
SUB-000200,ACC-104806,Pro,2,$249.54,USD,0,Monthly,credit card,2023/07/14,2023-11-28
SUB-000201,ACC-104806,Enterprise,5,"2,993.61",USD,0,Annual,Credit Card,2023-11-28,14-Mar-2024
SUB-000202,ACC-101369,Starter,4,71.32,USD,10,Monthly,Invoice,2024-10-04,04/04/2025
SUB-000203,ACC-100167,Enterprise,5,"$ 3,172",USD,0,Annual,Credit Card,2025-08-10,2025-12-21
SUB-000204,ACC-100167,Starter,7,89.01,USD,0,Monthly,Credit Card,21-Dec-2025,
SUB-000205,ACC-102093,Pro,2,223.31,USD,0,Monthly,Credit Card,2022-01-29,26/04/2023
SUB-000206,ACC-102093,Starter,4,$68.75,USD,0,Annual,Invoice,2023-04-26,2023-07-29
SUB-000207,ACC-105430,Pro,3,$285.56,USD,0,Monthly,Credit Card,07/27/2024,27/09/2025
SUB-000208,ACC-101769,Starter,3,$ 67,USD,0,Monthly,,2023-02-13,2023-03-13
SUB-000209,ACC-101769,Pro,3,196.31,USD,25,Monthly,ACH,2023-03-13,2023-03-13
SUB-000210,ACC-105185,Pro,2,$249.55,USD,0,Annual,Credit Card,04/06/2023,15/09/2023
SUB-000211,ACC-105185,Starter,3,$63.45,USD,0,Monthly,ACH,15-Sep-2023,2023-10-06
SUB-000212,ACC-101840,Pro,1,$ 197,USD,0,Annual,Credit Card,2023-01-20,
SUB-000213,ACC-105930,Starter,1,48.61,USD,0,Annual,credit card,02/09/2023,2026-05-07
SUB-000214,ACC-105930,Enterprise,5,"3,371.46",USD,0,Monthly,Credit Card,05/07/2026,
SUB-000215,ACC-105034,Pro,9,€ 445,EUR,0,Annual,Credit Card,07-Jan-2025,
SUB-000216,ACC-103194,Business,3,802.17,GBP,0,Annual,ACH,2023-08-06,
SUB-000217,ACC-102337,Starter,1,49,USD,0,Monthly,Credit Card,2022-11-12,04/12/2023
SUB-000218,ACC-103660,Starter,1,53.09,USD,0,Monthly,ACH,2022-12-12,11/04/2024
SUB-000219,ACC-103660,Business,2,$620.28,USD,0,Annual,Credit Card,11/04/2024,
SUB-000220,ACC-104909,Starter,10,127,EUR,0,Annual,Credit Card,09/05/2022,2025-10-09
SUB-000221,ACC-100084,Pro,1,224.66,USD,0,Annual,ACH,16/11/2024,2025-09-16
SUB-000222,ACC-103803,Business,3,729.27,USD,0,Monthly,Credit Card,2024-07-03,2025-11-04
SUB-000223,ACC-103803,Enterprise,2,"$2,412.96",USD,0,Monthly,credit card,2025-11-04,2026-02-27
SUB-000224,ACC-103803,Pro,3,$244.38,USD,0,Monthly,Credit Card,2026-02-27,
SUB-000225,ACC-104305,Starter,1,$ 47,USD,0,Monthly,ACH,2022/04/06,06/11/2022
SUB-000226,ACC-102029,Starter,4,66,USD,0,Monthly,Invoice,03/20/2022,14-Jan-2025
SUB-000227,ACC-102029,Pro,1,151,USD,20,Monthly,Invoice,2025-01-14,2025-08-20
SUB-000228,ACC-105314,Business,7,"$1,291.88",USD,0,Annual,credit card,2023-01-09,2026-02-09
SUB-000229,ACC-103112,Starter,2,$55.41,USD,0,Annual,Invoice,12/17/2024,2026-02-07
SUB-000230,ACC-103112,Pro,3,241,USD,0,Monthly,Credit Card,2026-02-07,
SUB-000231,ACC-104672,Starter,1,44,USD,0,Annual,Credit Card,01/31/2022,
SUB-000232,ACC-102086,Pro,5,274.24,USD,15,Monthly,Invoice,2022-05-21,21-Feb-2025
SUB-000233,ACC-104048,Starter,2,57.33,EUR,0,Annual,Credit Card,2022-09-27,2025-01-27
SUB-000234,ACC-102318,Enterprise,3,2955,USD,0,Annual,ACH,10/13/2024,
SUB-000235,ACC-104668,Starter,1,$52.06,USD,0,Monthly,credit card,02/06/2024,
SUB-000236,ACC-101926,Business,2,673.79,USD,0,Monthly,Credit Card,14/08/2023,21/05/2024
SUB-000237,ACC-101926,Enterprise,7,"3,796.66",USD,0,Annual,Credit Card,2024-05-21,14-Jun-2024
SUB-000238,ACC-101022,Starter,4,$68.02,USD,0,Annual,Credit Card,2023-09-10,
SUB-000239,ACC-101632,Business,4,$887.20,USD,0,Monthly,credit card,2023-05-20,22/09/2023
SUB-000240,ACC-101632,Pro,1,216.91,USD,0,Monthly,Credit Card,09/22/2023,2023-11-20
SUB-000241,ACC-100408,Starter,3,59.13,USD,0,Annual,Invoice,2024-02-06,2024-08-06
SUB-000242,ACC-104630,Starter,1,42,EUR,20,Annual,Invoice,2022-11-14,12/14/2023
SUB-000243,ACC-103247,Pro,1,182.73,USD,15,Annual,ACH,2022-04-25,06/25/2024
SUB-000244,ACC-101244,Pro,4,€316.72,EUR,0,Annual,Credit Card,2024-11-05,06/05/2025
SUB-000245,ACC-104966,Enterprise,2,"2,312.55",USD,0,Monthly,Credit Card,2022-05-15,
SUB-000246,ACC-105485,Pro,1,$ 201,USD,0,Monthly,Credit Card,2025-05-04,
SUB-000247,ACC-102522,Business,4,902,USD,0,Monthly,Invoice,2024-04-24,15/03/2026
SUB-000248,ACC-102522,Pro,1,200,USD,0,Monthly,Credit Card,2026-03-15,05/05/2026
SUB-000249,ACC-102522,Business,5,974.37,USD,0,Annual,Credit Card,2026-05-05,
SUB-000250,ACC-102985,Starter,3,$58.82,USD,0,Monthly,ACH,2022-06-27,10/25/2022
SUB-000251,ACC-102985,Pro,1,$158.67,USD,20,Monthly,,10/25/2022,2022-12-27
SUB-000252,ACC-104880,Pro,6,$355.21,USD,0,Annual,Credit Card,2022-10-06,2023-08-06
SUB-000253,ACC-102304,Business,5,$983.70,USD,0,Monthly,ACH,2022-09-17,
SUB-000254,ACC-103372,Pro,1,$179.83,USD,5,Monthly,Invoice,2025-02-16,
SUB-000255,ACC-102323,Starter,2,54.40,USD,0,Monthly,ACH,2025-07-17,2025-12-17
SUB-000256,ACC-102323,Enterprise,4,"2,781.99",USD,0,Annual,Invoice,12/17/2025,
SUB-000257,ACC-104814,Pro,3,245.42,USD,15,Monthly,Credit Card,10/13/2023,2024-10-06
SUB-000258,ACC-104814,Enterprise,2,"$2,518.07",USD,0,Monthly,Credit Card,10/06/2024,
SUB-000259,ACC-101873,Starter,4,$75.62,USD,0,Annual,ACH,2024-04-27,
SUB-000260,ACC-105835,Starter,2,57,USD,0,Monthly,Credit Card,2024-02-24,24-Jun-2025
SUB-000261,ACC-100093,Starter,3,5.00,USD,150,Annual,ACH,2024/01/17,2025-08-11
SUB-000262,ACC-100093,Enterprise,4,"$2,637.17",USD,0,Annual,Credit Card,08/11/2025,
SUB-000263,ACC-103779,Pro,4,308,USD,0,Monthly,Credit Card,08/28/2025,2026/05/28
SUB-000264,ACC-105669,Pro,2,216.07,GBP,15,Monthly,ACH,2024-01-21,
SUB-000265,ACC-100250,Pro,2,251.02,EUR,0,Monthly,Credit Card,01/03/2025,
SUB-000266,ACC-101756,Pro,5,$295.87,USD,0,Monthly,Credit Card,2022-07-13,2022-09-13
SUB-000267,ACC-101533,Starter,2,$ 52,USD,0,Monthly,Invoice,2024-10-13,
SUB-000268,ACC-103722,Business,2,771.75,USD,0,Annual,Credit Card,2024-06-20,2024-11-30
SUB-000269,ACC-103722,Starter,4,$ 56,USD,15,Monthly,Invoice,30-Nov-2024,
SUB-000270,ACC-102480,Pro,4,$ 292,USD,0,Monthly,Credit Card,2022-07-03,22-Apr-2025
