account_id,company_name,industry,country,company_size_employees,plan_tier,acquisition_channel,sales_rep_id,signup_date,churn_date,is_trial_converted
ACC-100308,"Phillips, Spence and Barrett",SaaS,United states ,142.0,Business,Content/SEO,,2022-03-26,,True
ACC-102781,Morrison-Hatfield,,Germany,1562.0,Enterprise,Referral,REP-016,2024-01-26,,False
ACC-104593,Allen-Riggs,Real Estate,Canada,14.0,Starter,Sales-Led,REP-023,17-Feb-2024,2024-03-17,True
ACC-104267,Duncan PLC,Logistics,Canada,32.0,Pro,Referral,,2022-04-18,2024-12-18,True
ACC-105646,Vang-Sanchez,Education,United States,78.0,Pro,Referral,,2022-01-29,,True
ACC-101451,Ramirez-White,Manufacturing,France,48.0,Pro,Organic Search,,2022-11-09,,True
ACC-104867,Walker Group,FinTech,Germany,,Starter,Referral,,2023-01-20,20-Jun-2024,True
ACC-104366,Nixon LLC,SaaS,India,17.0,Pro,Paid Ads,,03/16/2024,,True
ACC-101383,George-Stephens,Real Estate,U.K.,458.0,Enterprise,Paid Ads,REP-010,2022/05/07,,True
ACC-103941,Figueroa LLC,Real Estate,United Kingdom,28.0,Starter,Partner,,2022-03-02,,True
ACC-104356,Beck and Sons,Consulting,United States,49.0,Pro,Organic Search,,2024-11-04,2025/11/04,False
ACC-104447,Smith LLC,Consulting,Great Britain,3.0,Starter,Referral,,2022-03-12,2023-12-12,True
ACC-101747,Peterson Group,Consulting,United States,184.0,Business,Partner,,02/14/2024,,True
ACC-104650,"Guerrero, Berry and Harrison",Education,Netherlands,30.0,Pro,Content/SEO,,2022-02-05,,True
ACC-102441,Harrell Group,Logistics,Germany,,Business,Partner,,01/23/2024,,True
ACC-103624,Montes-Nguyen,Real Estate,Netherlands,3.0,Starter,Content/SEO,,2022-06-12,,True
ACC-103711,Miller-Booker,SaaS,United States,,Enterprise,Paid Ads,,21-Jun-2023,,True
ACC-105278,Craig-Miller,E-commerce,Canada,47.0,Pro,Organic Search,,2022-04-02,,True
ACC-103982,Elliott-Farmer,e-commerce,Canada,11.0,Starter,Content/SEO,,08/26/2023,,True
ACC-101088,"Cohen, Compton and Perez",Education,Brazil,8.0,Starter,Sales-Led,REP-037,03/15/2023,04/15/2025,True
ACC-102934,Palmer Inc,Education,United States,54.0,Pro,Partner,,12/04/2023,,False
ACC-105974,"Dominguez, Robinson and Anderson",Media,Spain,502.0,Enterprise,Organic Search,REP-038,2024-12-01,2025-10-01,True
ACC-100534,SALAZAR INC,Consulting,united states,4.0,Starter,Paid Ads,,2025-07-03,,True
ACC-105441,"Bush, Watson and Robertson",fintech,Canada,4.0,Starter,Content/SEO,,2024-04-24,2024/06/24,True
ACC-101832,Berry-Rivera,FinTech,United States,1253.0,Enterprise,Referral,REP-033,26/02/2022,,False
ACC-102603,"Oliver, Simmons and Mcdonald",SaaS,United States,46.0,Pro,Content/SEO,,2024-11-17,,True
ACC-104518,Cortez-Ellis,Media,United States,11.0,Pro,Organic Search,,2024-02-17,,True
ACC-105995,Grant-Richardson,Manufacturing,United States,3.0,Starter,,,2022-08-10,,True
ACC-100879,Pena LLC,SaaS,United States,11.0,Pro,Partner,,02/05/2024,,True
ACC-105890,"  Craig, Schneider and Mcintyre  ",Healthcare,Germany,116.0,Business,Content/SEO,,2022-10-23,2025-06-23,True
ACC-103289,"  Barrera, Wood and Leach  ",Real Estate,Sweden,65.0,Pro,Paid Ads,,2022-01-16,16-Feb-2024,True
ACC-102002,"Bryan, Lam and Hayes",Healthcare,India,31.0,Pro,Organic Search,,2023-06-13,2023-09-13,True
ACC-100808,  Mueller-Boyd  ,SaaS,India,115.0,Business,Paid Ads,,05/06/2022,,True
ACC-101379,"Moreno, Perez and Lang",Consulting,United Kingdom,10.0,Starter,Content/SEO,,2023-09-07,,True
ACC-105818,Jackson-Wilcox,FinTech,Germany,38.0,Pro,,,09/02/2024,2025-01-02,True
ACC-105751,Jackson Inc,Real Estate,Brazil,22.0,Starter,Paid Ads,,11/11/2023,2025-11-11,True
ACC-100553,Ballard Ltd,Logistics,Australia,20.0,Pro,Referral,,2025-05-16,,False
ACC-104793,Richard and Sons,Real Estate,Netherlands,47.0,Pro,Organic Search,,04/07/2025,,True
ACC-103246,Taylor-Miller,Manufacturing,United states ,196.0,Business,,,07/09/2022,,True
ACC-104399,Clark Ltd.,E-commerce,Australia,9.0,Pro,Content/SEO,,05/08/2022,2025-08-05,True
ACC-103157,Peterson-Munoz,Manufacturing,United States,11.0,Starter,Paid Ads,,2023-09-09,2025-04-09,True
ACC-103539,"Perry, May and Liu",E-commerce,Sweden,28.0,Pro,Organic Search,,06/07/2024,,True
ACC-102517,Smith-Simmons,Consulting,United Kingdom,369.0,Business,Organic Search,,2025-06-02,,True
ACC-104504,"Garner, Campbell and Hawkins",E-commerce,,152.0,Business,Partner,,04/22/2023,22-Mar-2025,False
ACC-105610,Nichols-Patel,Logistics,Canada,,Business,Sales-Led,REP-008,2023-05-24,,True
ACC-102364,Howell LLC,Consulting,Spain,64.0,Pro,Partner,,08/01/2023,04/08/2026,False
ACC-100535,Parker Ltd,Media,India,62.0,Pro,Content/SEO,,2025-04-26,,True
ACC-103857,"Nguyen, Brown and Roberts",Media,Japan,611.0,Enterprise,Partner,,21-Feb-2025,,True
ACC-101421,  Maldonado-Mosley  ,SaaS,United States,794.0,Enterprise,Referral,REP-038,2024-11-12,,False
ACC-101543,Washington Group,Healthcare,India,89.0,Pro,Paid Ads,,2025-08-13,,False
ACC-104722,"Pena, Mueller and Mckay",SaaS,Australia,35.0,Pro,Sales-Led,REP-019,03/23/2023,,True
ACC-103381,"Edwards, Donovan and Marquez",Consulting,India,71.0,Business,Partner,,01/16/2022,,False
ACC-104773,DAVIS GROUP,E-commerce,United Kingdom,385.0,Business,Referral,,2023-12-06,,False
ACC-101512,Booker Inc,Healthcare,India,174.0,Business,Paid Ads,,2025-06-25,,True
ACC-105339,"  Jones, Collier and Sloan  ",E-commerce,United States,11.0,Starter,Content/SEO,,2024-08-11,,True
ACC-100576,"Becker, Wilson and Hester",Education,India,,Pro,Content/SEO,,04-Mar-2023,11/04/2023,True
ACC-103567,Jackson Group,Real Estate,Germany,11.0,Starter,Partner,,2024-01-24,,True
ACC-103745,Lee PLC,Logistics,united states,55.0,Pro,Referral,,07/08/2023,08/03/2025,True
ACC-102787,Smith Ltd,Education,United States,28.0,Pro,Referral,,2024-07-14,2025-06-14,True
ACC-102579,Boyle-Torres,Media,United States,202.0,Business,Paid Ads,,2023-11-28,,False
ACC-101397,"Mann, Martin and Oconnell",Real Estate,United Kingdom,8.0,Starter,Referral,,2025-08-16,,True
ACC-102450,Mann PLC,Manufacturing,United States,10.0,Pro,Sales-Led,REP-002,12/26/2024,,True
ACC-102515,LEE-GREGORY,FinTech,Germany,176.0,Business,Content/SEO,,21-Jan-2025,,True
ACC-105626,Terry LLC,Consulting,USA,,Pro,Partner,,2023-09-17,12/17/2025,True
ACC-104696,"CHRISTENSEN, JOHNSON AND HUBBARD",,Canada,91.0,Pro,Paid Ads,,07/28/2025,,True
ACC-104808,Hogan Inc,Real Estate,United Kingdom,22.0,Pro,Organic Search,,05/07/2022,,True
ACC-105337,Walker-Lee,Consulting,United states ,,Pro,Organic Search,,25/09/2023,06/25/2025,True
ACC-100080,"Sanchez, Wheeler and Harvey",Education,Australia,23.0,Starter,Partner,,2022-06-08,12/08/2022,True
ACC-103208,Johnson-Johnson,Healthcare,Japan,41.0,Pro,Paid Ads,,04/01/2023,,True
ACC-100586,Whitney PLC,fintech,United States,21.0,Starter,Paid Ads,,10/31/2022,31/05/2023,True
ACC-101181,"HALL, HINTON AND PHILLIPS",Education,United States,6.0,Starter,Organic Search,,21/05/2024,,True
ACC-102521,Ward-Blake,Logistics,United States,172.0,Business,Partner,,29/12/2024,,True
ACC-100079,"Hensley, Powell and David",Logistics,Canada,89.0,Pro,Organic Search,,2024-08-30,2025-04-30,True
ACC-100476,Scott and Sons,Healthcare,India,16.0,Starter,Organic Search,,2024-07-01,,True
ACC-103770,"Arnold, Paul and Adams",Real Estate,United States,1.0,Starter,Content/SEO,,08/03/2022,,True
ACC-101760,"Castro, Garcia and Daniels",E-commerce,Netherlands,20.0,Starter,Paid Ads,,23-May-2022,,True
ACC-100023,Morales-Jones!,real estate,Canada,6.0,Starter,Referral,,2022-06-06,06/08/2022,True
ACC-104678,"Henderson, Williams and Keller",,USA,,Starter,Partner,,27-Feb-2022,04/27/2022,True
ACC-102980,Rogers Group,Manufacturing,India,645.0,Enterprise,Sales-Led,REP-022,07/10/2023,,True
ACC-101951,Watkins-Nguyen,FinTech,United States,15.0,Starter,Partner,,2022-05-07,,False
ACC-101973,Baird-Williams,Healthcare,Netherlands,104.0,Business,Partner,,2025-03-26,,True
ACC-101942,Brown-Rodriguez,Media,Canada,2.0,Starter,Organic Search,,01/03/2023,03/03/2024,True
ACC-101509,  Walsh PLC  ,Education,Netherlands,24.0,Pro,Paid Ads,,2025-03-05,,True
ACC-100228,Rowe Group,Healthcare,United Kingdom,14.0,Starter,Content/SEO,,2025-07-12,,True
ACC-104647,"  Jacobs, Calhoun and Wyatt  ",Healthcare,Australia,10.0,Starter,Content/SEO,,04/09/2024,2026-03-04,True
ACC-104813,"Jennings, Serrano and Howard",FinTech,India,40.0,Pro,Content/SEO,,2022-05-17,10/17/2022,True
ACC-101728,"Choi, Collier and Lee",Media,Brazil,45.0,Pro,,,2022-08-01,2023-06-01,True
ACC-101049,Miller-Colon,Consulting,United Kingdom,15.0,Pro,Content/SEO,,2022-04-01,,False
ACC-101261,Harris-Melton,Real Estate,United Kingdom,806.0,Enterprise,Partner,,2022-03-04,,True
ACC-104325,"Gomez, Mcmahon and Fisher",Media,Canada,13.0,Pro,Referral,,2023-09-23,2024-12-23,True
ACC-105296,Dominguez Group LLC,SaaS,US,4.0,Starter,Organic Search,,2022/02/19,2022-04-19,True
ACC-105617,"Briggs, Lutz and Marks",Media,United States,65.0,Pro,Sales-Led,REP-004,09/12/2023,,True
ACC-102770,"Fry, Hayes and Olsen",Healthcare,Great Britain,,Pro,Referral,,2022/07/03,06/03/2023,True
ACC-101916,"Smith, Meadows and Montgomery LLC",SaaS,Sweden,660.0,Enterprise,Content/SEO,REP-036,2025-06-01,,True
ACC-101617,Singh and Sons,Real Estate,United Kingdom,22.0,Starter,Referral,,07/15/2024,15-Mar-2025,False
ACC-103044,"Miller, Taylor and Malone",Logistics,USA,28.0,Pro,Referral,,01-Apr-2024,12/01/2025,True
ACC-100346,Jones PLC,Consulting,Germany,,Pro,Content/SEO,,2024-03-20,2026-04-20,True
ACC-105071,"Perez, Morris and Stanley",Consulting,United States,,Pro,Partner,,2025-01-14,05/14/2026,True
ACC-100233,Arnold and Sons,FinTech,United Kingdom,1.0,Starter,Referral,,02/23/2025,,True
ACC-103481,Kim PLC,Consulting,Canada,5.0,Starter,Organic Search,,2024-02-17,2025-02-17,True
ACC-104058,"Guerrero, Watson and Perry",Real Estate,Brazil,209.0,Business,Referral,,05/04/2025,,False
ACC-100599,FOX-EDWARDS,,Germany,118.0,Pro,Referral,,2024-10-05,,True
ACC-103680,"Goodman, Martin and Kim",E-commerce,France,,Starter,Paid Ads,,2024-07-05,2025-12-05,True
ACC-103669,"Wright, Thomas and Jensen",Media,Spain,9.0,Starter,Content/SEO,,2022-04-26,2023/05/26,True
ACC-100037,"Baker, Mason and White",Logistics,Germany,2.0,Starter,Organic Search,,10/25/2023,2026-05-25,True
ACC-100465,Cole-Palmer,Real Estate,United Kingdom,1409.0,Enterprise,Organic Search,REP-030,13/06/2024,2024/09/13,True
ACC-105704,Taylor and Sons,Healthcare,united states,1146.0,Enterprise,Organic Search,REP-034,10/02/2023,,True
ACC-100932,"Craig, Wilson and Yang",Logistics,France,178.0,Business,Partner,,2022-01-31,01/31/2025,True
ACC-105290,"Blair, Bates and Daniels",Manufacturing,,58.0,Pro,Partner,,24-Nov-2023,,True
ACC-102228,Love-Mcdowell,Consulting,Canada,29.0,pro,Sales-Led,REP-031,2023-02-05,2024-02-05,True
ACC-105054,"Willis, Miller and Lee",logistics,Singapore,267.0,Business,Paid Ads,,02/26/2022,2023-07-26,True
ACC-104741,"Monroe, Sullivan and King",Logistics,United states ,38.0,Pro,Organic Search,,2025-04-09,,False
ACC-100506,"Carter, Garcia and Murphy",Media,United states ,19.0,Starter,Referral,,2023-11-05,,True
ACC-100401,Thompson-James,Education,Brazil,19.0,Pro,Referral,,2022-12-11,,False
ACC-103780,Gonzales PLC,SaaS,India,25.0,Pro,Paid Ads,,20-Dec-2022,,True
ACC-104806,  Moore-Murphy  ,Education,Singapore,23.0,Pro,Content/SEO,,2023-07-14,2024-03-14,True
ACC-101369,Jackson-Jennings,Consulting,United States,5.0,Starter,Referral,,10/04/2024,2025-04-04,False
ACC-100167,Johnson-Rogers,E-commerce,Brazil,718.0,Enterprise,Content/SEO,REP-013,10/08/2025,,True
ACC-102093,Vazquez-Bowers,Real Estate,India,24.0,Pro,Content/SEO,,2022-01-29,2023-07-29,False
ACC-105430,Wolf-Lozano,Media,United States,28.0,Pro,Paid Ads,,2024-07-27,27/09/2025,True
ACC-101769,"Chang, Lamb and Miller",Real Estate,Germany,18.0,Starter,Paid Ads,,02/13/2023,2023-03-13,True
ACC-105185,Deleon-Parsons,E-commerce,United States,16.0,Pro,Content/SEO,,2023-04-06,2023-10-06,True
ACC-101840,York LLC,Consulting,Germany,33.0,Pro,Organic Search,,01/20/2023,,True
ACC-105930,Campbell Ltd,SaaS,United States,5.0,Starter,Referral,,2023-09-02,,True
ACC-105034,"Yates, Houston and Gonzalez",Manufacturing,Japan,18.0,Pro,Referral,,01/07/2025,,True
ACC-103194,"Graham, Mitchell and Keller",FinTech,Germany,74.0,Business,Sales-Led,REP-008,08/06/2023,,True
ACC-102337,"Leonard, Ballard and Miller",,,3.0,Starter,Partner,,12-Nov-2022,04/12/2023,False
ACC-103660,Hoffman-Webb,,Germany,7.0,Starter,Partner,,2022-12-12,,True
ACC-104909,"JUAREZ, WILSON AND COCHRAN",E-commerce,Germany,4.0,Starter,Organic Search,,2022-05-09,2025-10-09,True
ACC-100084,"Evans, Stewart and Walton",Education,United Kingdom,32.0,Pro,Partner,,16-Nov-2024,09/16/2025,True
ACC-103803,Weiss-Cross,Manufacturing,Japan,73.0,Business,Paid Ads,,2024-07-03,,False
ACC-104305,Guzman LLC,FinTech,United States,3.0,Starter,Content/SEO,,04/06/2022,11/06/2022,True
ACC-102029,Sullivan Group,Consulting,United states ,8.0,Starter,Paid Ads,,03/20/2022,2025-08-20,True
ACC-105314,Nunez and Sons,SaaS,Australia,134.0,Business,Partner,,2023-01-09,2026-02-09,True
ACC-103112,Lopez-Harris,Education,Canada,16.0,Starter,,,2024-12-17,,True
ACC-104672,"Holden, Larson and Alvarez",Education,Canada,4.0,Starter,Paid Ads,,2022-01-31,,True
ACC-102086,Mclean Group,Consulting,Great Britain,-8.0,Pro,Partner,,2022-05-21,21/02/2025,True
ACC-104048,Ross-Mathews,Healthcare,Singapore,-11.0,Starter,Content/SEO,,27/09/2022,2025-01-27,False
ACC-102318,Evans-Joyce,Healthcare,Brazil,448.0,Enterprise,Organic Search,REP-018,2024-10-13,,True
ACC-104668,"Riggs, Smith and Lopez",E-commerce,United Kingdom,8.0,Starter,Organic Search,,,,True
ACC-101926,  Rogers Inc  ,Education,United States,79.0,Business,Referral,,2023-08-14,14-Jun-2024,True
ACC-101022,"Phillips, Thompson and Smith",Healthcare,United Kingdom,5.0,Starter,Partner,,2023-09-10,,True
ACC-101632,"Miller, Gonzalez and Rasmussen",Manufacturing,United States,294.0,Business,Paid Ads,,20/05/2023,2023-11-20,True
ACC-100408,Jackson-Meza,E-commerce,Great Britain,,Starter,Paid Ads,,06-Feb-2024,2024-08-06,True
ACC-104630,"Weaver, Lara and Thomas",Manufacturing,United States,18.0,Starter,Content/SEO,,2022-11-14,12/14/2023,True
ACC-103247,"Case, Adams and Olson",Logistics,Canada,17.0,Pro,Referral,,2022/04/25,2024-06-25,True
ACC-101244,"Hester, Thompson and Daniels",Logistics,United States,57.0,Pro,Partner,,2024-11-05,05-Jun-2025,True
ACC-104966,Hammond-Kennedy,FinTech,United States,1247.0,Enterprise,Organic Search,,2022-05-15,,True
ACC-105485,Colon-Frank,E-commerce,Australia,34.0,Pro,Content/SEO,,04/05/2025,,True
ACC-102522,"Walker, Ramirez and Fisher",Real Estate,,106.0,Business,Sales-Led,REP-007,24/04/2024,,True
ACC-102985,Williams Inc,,India,25.0,Starter,Referral,,2022-06-27,2022/12/27,True
ACC-104880,Martin-Simmons,Manufacturing,Canada,19.0,Pro,Referral,,2022-10-06,2023-08-06,True
ACC-102304,Smith and Sons,Logistics,United States,268.0,Business,Sales-Led,REP-002,09/17/2022,,True
ACC-103372,  Cain Ltd  ,FinTech,Singapore,23.0,Pro,Paid Ads,,2025/02/16,,True
ACC-102323,"Carroll, King and Scott",Healthcare,Canada,25.0,Starter,Partner,,2025-07-17,,True
ACC-104814,"Miller, Martin and Collins",SaaS,France,25.0,Pro,Partner,,2023-10-13,,True
ACC-101873,Erickson Inc,FinTech,Germany,4.0,Starter,Partner,,2024/04/27,,True
ACC-105835,Williams Group,FinTech,Canada,8.0,Starter,Partner,,24-Feb-2024,06/24/2025,True
ACC-100093,Newton and Sons,E-commerce,United States,4.0,Starter,Partner,,2024-01-17,,True
ACC-103779,  Martin-Payne  ,Consulting,Brazil,45.0,Pro,Referral,,2025-08-28,2026-05-28,True
ACC-105669,Logan-Dickerson,Logistics,US,10.0,Pro,Paid Ads,,01/21/2024,,True
ACC-100250,Moon-White,Manufacturing,Canada,,Pro,Paid Ads,,03-Jan-2025,,True
ACC-101756,Flores and Sons,Education,United Kingdom,17.0,Pro,Content/SEO,,07/13/2022,2022-09-13,True
ACC-101533,"Wilson, Mccormick and Smith",SaaS,Germany,5.0,Starter,Sales-Led,REP-039,2024-10-13,,False
ACC-103722,Townsend-Reed,Real Estate,Netherlands,161.0,Business,Referral,,20-Jun-2024,,True
ACC-102480,Fernandez-Jackson.,Consulting,United States,27.0,Pro,Referral,,2022-07-03,,True
ACC-101186,"Holland, Murphy and Kline",E-commerce,Canada,1.0,Starter,Referral,,31/03/2023,2024-01-31,True
ACC-103765,"Mills, Gallegos and Mcdaniel",Education,US,,Starter,Paid Ads,,09/18/2022,,True
ACC-102910,Woods-Anderson,,Singapore,432.0,Enterprise,Content/SEO,REP-017,24/06/2025,2025-07-24,True
ACC-102627,Torres Ltd,SaaS,US,68.0,Pro,Paid Ads,,2023-01-21,,True
ACC-105000,Martinez-Ramirez,Education,Japan,3.0,Starter,Partner,,12/05/2022,05-Jul-2025,True
ACC-100807,  Bailey LLC  ,Logistics,Australia,56.0,Pro,Content/SEO,,2022-12-20,2025-11-20,True
ACC-103852,Jacobs and Sons,E-commerce,Netherlands,56.0,Pro,Partner,,2022-05-16,2025-12-16,False
ACC-103938,Santos LLC,Real Estate,Sweden,61.0,Business,Paid Ads,,02/04/2024,04/04/2024,True
ACC-105801,Mccarthy-Lambert,Media,United Kingdom,35.0,Pro,Sales-Led,REP-011,25-Oct-2023,,True
ACC-102991,"Maxwell, Rice and Watson",SaaS,Spain,65.0,Pro,Organic Search,,01/07/2024,2024-07-07,True
ACC-101183,Phelps LLC,E-commerce,United Kingdom,4.0,Starter,Referral,,2023-03-13,2025/06/13,True
ACC-100185,  Johnston-Odonnell  ,Logistics,France,4.0,Starter,Referral,,06-Apr-2025,,False
ACC-103101,"Perez, Huynh and Nelson",FinTech,united states,306.0,Business,Paid Ads,,2025-07-21,,True
ACC-103386,Buchanan-Carpenter,Healthcare,United Kingdom,85.0,Business,Partner,,2023-08-08,2024-01-08,True
ACC-102788,Hardy-Barron,Consulting,France,56.0,Pro,Paid Ads,,2024-05-27,2025-09-27,True
ACC-100254,Roberts-Landry.,Healthcare,Canada,114.0,Business,Organic Search,,2025/06/16,,True
ACC-105448,Finley Ltd,E-commerce,United Kingdom,68.0,Pro,Referral,,2022-06-10,10-Oct-2022,True
ACC-102623,Edwards and Sons,Education,Sweden,1840.0,Enterprise,Paid Ads,REP-039,09/18/2023,,True
ACC-103721,"Bailey, Johnson and Diaz",Logistics,France,41.0,Pro,Organic Search,,01/12/2023,,True
ACC-105917,Jones and Sons,E-commerce,United Kingdom,14.0,Starter,Referral,,2022-06-19,2022-10-19,True
ACC-103759,Collins Group,FinTech,U.S.A.,101.0,Business,Sales-Led,REP-001,2022-12-10,,True
ACC-101057,Marshall-Perez,SaaS,Germany,7.0,Starter,Organic Search,,2024-10-20,,True
ACC-103388,"Rich, Brown and Bruce",Healthcare,India,16.0,Starter,Sales-Led,REP-016,2025/03/18,,True
ACC-102881,Obrien-Dixon,Logistics,Netherlands,-6.0,starter,Partner,,01/28/2024,2025-01-28,True
ACC-100157,"Miller, Hernandez and Reyes",E-commerce,United States,18.0,Pro,Organic Search,,26/04/2023,,True
ACC-102440,Smith-Kelley,Manufacturing,United States,,Pro,Partner,,2024-08-15,2024-10-15,False
ACC-105316,"Cooper, Brooks and King",,Canada,282.0,Business,Content/SEO,,2023-10-21,03/21/2024,True
ACC-101670,"Liu, Buchanan and Meyer",Manufacturing,United States,253.0,Business,Organic Search,,2023-10-29,,True
ACC-102236,"Hines, Bradford and Jennings",Healthcare,Brazil,284.0,Business,Content/SEO,,03/04/2022,2022-06-04,False
ACC-102835,Gates Ltd,SaaS,India,7.0,Starter,Organic Search,,25-May-2024,12/25/2024,True
ACC-100881,Williams Ltd,E-commerce,United Kingdom,7.0,Starter,Sales-Led,REP-033,15-Mar-2025,,False
ACC-100323,"Ramsey, Whitney and Coffey",SaaS,Germany,19.0,Starter,Paid Ads,,2024-01-22,,True
ACC-105656,"Curtis, Turner and Taylor",,Sweden,22.0,Starter,Referral,,2022-03-17,,False
ACC-100626,Lopez-Curry,Real Estate,US,,Business,Sales-Led,REP-038,08-Apr-2025,,True
ACC-104947,Sullivan and Sons,Logistics,France,1393.0,Enterprise,Referral,,2023-08-08,2025-03-08,True
ACC-101215,Petersen PLC,FinTech,United states ,11.0,Starter,Partner,,13/04/2025,,True
ACC-103652,Jones PLC,Consulting,Japan,9.0,Starter,Sales-Led,REP-027,18-Feb-2022,2022-03-18,False
ACC-101033,"Barnes, Jackson and Gutierrez",FinTech,United States,4.0,Starter,Referral,,25-Jun-2023,,True
ACC-104161,"RITTER, BAKER AND LEON",Media,USA,7.0,Starter,Organic Search,,2022-07-03,2024-06-03,True
ACC-105384,HERNANDEZ-SMITH,SaaS,United Kingdom,130.0,Business,Content/SEO,,02/11/2024,,True
ACC-100156,"Mitchell, Nelson and Flores",Consulting,Great Britain,134.0,Business,,,2023-06-20,,True
ACC-105776,Padilla and Sons,Logistics,united states,,Starter,,,2022-03-25,,True
ACC-100472,Moody-Taylor,FinTech,Canada,38.0,Pro,,,2023-02-08,08-Jul-2023,True
ACC-100742,Lewis Ltd,Consulting,United Kingdom,11.0,Pro,,,03/14/2024,2025-09-14,False
ACC-102792,Robertson-Keller,Media,France,8.0,Starter,Paid Ads,,2025-07-13,,True
ACC-100031,Carlson-Cruz,FinTech,Sweden,5.0,Starter,,,2025-05-31,,True
ACC-102828,"Ortega, Solis and Warner",Healthcare,France,50.0,Pro,Partner,,2025-01-28,,True
ACC-105498,Gutierrez and Sons,Media,India,6.0,Starter,Sales-Led,REP-036,2025-01-25,,False
ACC-101869,Bell-Hardy,Logistics,France,58.0,Pro,Sales-Led,REP-027,2023-12-16,2025-02-16,False
ACC-101242,"  Robinson, Clark and Klein  ",Manufacturing,France,19.0,Pro,Partner,,02/08/2024,2024-04-08,False
ACC-102850,  Mccann-White  ,Real Estate,Canada,29.0,Starter,Organic Search,,2022-08-17,2023-11-17,True
ACC-102486,"Pittman, Campbell and Martin",Real Estate,U.S.A.,10.0,Starter,Content/SEO,,08/02/2023,,True
ACC-103790,Alvarado Inc,FinTech,Singapore,62.0,Pro,Content/SEO,,2024-12-30,01/30/2025,True
ACC-102899,Blankenship-Strickland,,India,,Pro,Paid Ads,,2024-04-13,,True
ACC-105331,Garcia-Dalton,FinTech,Brazil,44.0,Pro,Content/SEO,,2023-04-26,,True
ACC-102498,"Miller, Mcdowell and Curtis",FinTech,Brazil,2.0,Starter,Sales-Led,REP-030,2024-02-07,,True
ACC-104073,Collins Group,,Australia,48.0,Pro,Sales-Led,REP-008,2024-03-07,,True
ACC-100177,Walker-Jones,Consulting,United States,,Business,Content/SEO,,18-Oct-2022,,True
ACC-100221,Harrison-Alexander,Real Estate,US,34.0,Pro,Organic Search,,2022-08-08,2023-06-08,True
ACC-101323,Joseph Ltd,Logistics,United States,41.0,Pro,Partner,,2022-04-15,2026-04-15,True
ACC-102656,Myers-Colon,Education,Singapore,27.0,Pro,Referral,,02/01/2023,,True
ACC-101038,Lynn-Jones,E-commerce,United States,30.0,Business,Content/SEO,,2024-02-10,,True
ACC-104072,"Alexander, Vincent and Pacheco",Real Estate,Netherlands,15.0,Starter,,,2025-03-26,,True
ACC-101042,Bush-Reynolds,fintech,India,,Starter,Paid Ads,,28-Jan-2025,,True
ACC-100544,"Jacobson, Singleton and King",Logistics,Germany,37.0,Pro,Organic Search,,2024-03-02,02/10/2025,True
ACC-101172,Campbell Inc,Education,USA,7.0,Starter,Content/SEO,,23/11/2024,,True
ACC-105479,Bennett-Smith,Logistics,United States,339.0,Enterprise,Content/SEO,REP-033,2024/05/10,2025-10-10,True
ACC-101223,"Brandt, Carter and Boyd",Media,United Kingdom,70.0,Starter,Paid Ads,,08/02/2025,,True
ACC-100469,Hughes Inc,SaaS,Canada,21.0,Pro,,,2022-01-18,,True
