ticket_id,account_id,created_date,category,priority,resolution_time_hours,satisfaction_score
TCK-0000040,ACC-104606,2026-04-10,Billing,Medium,12.2,2.0
TCK-0000041,ACC-104606,2023-02-05,Account Access,Low,0.5,2.0
TCK-0000042,ACC-101535,2024-07-11,Performance,Low,,2.0
TCK-0000043,ACC-101535,2024-01-26,Other,Medium,18.1,
TCK-0000044,ACC-101535,04/21/2024,Feature Request,Low,5.6,
TCK-0000045,ACC-101876,2025-09-11,Integration Help,Medium,10.4,4.0
TCK-0000046,ACC-101876,07/26/2025,Account Access,High,26.2,
TCK-0000047,ACC-101876,02/05/2026,Feature Request,Low,,4.0
TCK-0000048,ACC-101876,09/11/2025,Other,High,37.8,5.0
TCK-0000049,ACC-101737,2024-10-15,Onboarding,Medium,14.0,
TCK-0000050,ACC-101737,13-Aug-2025,Performance,Urgent,5.9,3.0
TCK-0000051,ACC-101737,2026-05-19,Other,High,0.4,4.0
TCK-0000052,ACC-101737,12/20/2025,Onboarding,Medium,13.9,
TCK-0000053,ACC-101737,2026-01-23,Performance,Urgent,2.9,3.0
TCK-0000054,ACC-101737,2025-04-25,Other,Low,13.4,5.0
TCK-0000055,ACC-101737,2025-02-26,Bug Report,Urgent,0.4,5.0
TCK-0000056,ACC-101737,2022-12-31,Onboarding,Medium,1.1,4.0
TCK-0000057,ACC-101737,2025-08-12,Performance,Low,1.2,4.0
TCK-0000058,ACC-101737,2025-06-19,Billing,Low,5.7,5.0
TCK-0000059,ACC-101737,29/04/2024,Account Access,Medium,7.3,5.0
TCK-0000060,ACC-102895,2025-09-14,Performance,Medium,12.2,3.0
TCK-0000061,ACC-102895,2024-10-30,Integration Help,Medium,10.4,
TCK-0000062,ACC-103049,2024-12-10,Billing,Medium,2.5,5.0
TCK-0000063,ACC-103049,01/06/2026,Bug Report,Medium,6.1,
TCK-0000064,ACC-103907,02/06/2026,Account Access,Low,1.6,1.0
TCK-0000065,ACC-103907,2025-12-23,Billing,High,,3.0
TCK-0000066,ACC-103907,2025-05-05,Integration Help,Low,28.1,4.0
TCK-0000067,ACC-103907,18-Apr-2025,Onboarding,Urgent,1.5,4.0
TCK-0000068,ACC-103907,2026-04-04,Account Access,Medium,3.0,
TCK-0000069,ACC-103907,07/03/2025,Feature Request,Low,20.8,5.0
TCK-0000070,ACC-103907,2024-04-09,Account Access,Medium,2.1,
TCK-0000071,ACC-103907,05/13/2024,Account Access,Low,3.8,2.0
TCK-0000072,ACC-103907,2024-06-30,Billing,Medium,14.4,4.0
TCK-0000073,ACC-102845,20-Mar-2022,Bug Report,Low,5.2,3.0
TCK-0000074,ACC-102845,08/11/2024,Account Access,Medium,13.0,5.0
TCK-0000075,ACC-102845,07-Nov-2022,Billing,Urgent,1.2,4.0
TCK-0000076,ACC-102845,07/08/2025,Feature Request,Medium,1.4,
TCK-0000077,ACC-102845,2022-11-21,Integration Help,High,,4.0
TCK-0000078,ACC-102845,2023-07-24,Billing,Low,14.3,1.0
TCK-0000079,ACC-102845,08/31/2023,Onboarding,Low,4.3,
TCK-0000080,ACC-102845,2024-10-17,Billing,Medium,3.3,5.0
TCK-0000081,ACC-104322,05/09/2025,Billing,Low,1.5,2.0
TCK-0000082,ACC-104322,2025-08-10,Billing,Medium,15.7,3.0
TCK-0000083,ACC-104322,09/06/2025,Feature Request,Medium,5.5,5.0
TCK-0000084,ACC-100308,03/15/2025,Onboarding,Urgent,0.6,5.0
TCK-0000085,ACC-100308,2023-10-14,Integration Help,Low,6.4,4.0
TCK-0000086,ACC-100308,2025-08-25,Integration Help,Low,6.4,1.0
TCK-0000087,ACC-100308,2024-02-17,Feature Request,High,14.0,5.0
TCK-0000088,ACC-100308,2022-06-30,Integration Help,Low,8.8,3.0
TCK-0000089,ACC-100308,31/03/2025,Billing,Medium,0.5,4.0
TCK-0000090,ACC-100308,2024-01-07,Account Access,Low,,
TCK-0000091,ACC-100308,09-Mar-2026,Performance,Medium,31.5,2.0
TCK-0000092,ACC-102781,2025-12-15,Onboarding,High,20.8,3.0
TCK-0000093,ACC-102781,2025-05-03,Billing,Urgent,6.6,4.0
TCK-0000094,ACC-104593,03/14/2024,Other,Medium,37.8,1.0
TCK-0000095,ACC-104593,22-Feb-2024,Performance,Medium,0.2,5.0
TCK-0000096,ACC-104593,2024-03-15,Onboarding,Low,17.0,
TCK-0000097,ACC-104593,2024-03-04,Onboarding,Urgent,1.9,
TCK-0000098,ACC-104267,2023-03-17,Integration Help,Low,21.7,4.0
TCK-0000099,ACC-104267,2023-12-17,Bug Report,Low,28.5,3.0
TCK-0000100,ACC-104267,2024-05-06,Billing,Low,15.2,5.0
TCK-0000101,ACC-104267,20/08/2022,Bug Report,High,17.9,3.0
TCK-0000102,ACC-104267,2023-09-11,Account Access,Urgent,10.4,5.0
TCK-0000103,ACC-104267,2024-08-13,Bug Report,Low,33.1,
TCK-0000104,ACC-104267,18-Sep-2023,Feature Request,Medium,,4.0
TCK-0000105,ACC-104267,2023-02-14,Bug Report,Low,24.4,3.0
TCK-0000106,ACC-105646,2026-05-27,Bug Report,Medium,12.8,5.0
TCK-0000107,ACC-105646,11/23/2023,Onboarding,Low,8.0,4.0
TCK-0000108,ACC-105646,2026-04-26,Integration Help,Low,23.8,4.0
TCK-0000109,ACC-105646,20-Mar-2024,Onboarding,Medium,9.7,5.0
TCK-0000110,ACC-105646,07/15/2022,Billing,Medium,,5.0
TCK-0000111,ACC-105646,2026-05-21,Onboarding,Low,29.9,3.0
TCK-0000112,ACC-105646,2024-01-20,Onboarding,Medium,11.6,4.0
TCK-0000113,ACC-101451,2023-12-15,Bug Report,Low,16.9,4.0
TCK-0000114,ACC-101451,10-Nov-2024,Other,Medium,7.0,
TCK-0000115,ACC-101451,2025-05-13,Onboarding,High,-6.8,5.0
TCK-0000116,ACC-101451,2023-11-07,Feature Request,High,23.0,5.0
TCK-0000117,ACC-101451,2026-04-03,Bug Report,Medium,0.9,5.0
TCK-0000118,ACC-104867,08/19/2023,Bug Report,Low,5.2,5.0
TCK-0000119,ACC-104867,2024-02-16,Onboarding,Low,20.0,3.0
TCK-0000120,ACC-104867,2023/11/16,Other,Medium,5.7,4.0
TCK-0000121,ACC-104867,2024-04-04,Feature Request,Medium,18.9,
TCK-0000122,ACC-104867,12/15/2023,Billing,High,1.0,5.0
TCK-0000123,ACC-104867,06/09/2023,Performance,Medium,10.3,
TCK-0000124,ACC-104366,2024-09-06,Billing,Low,9.6,5.0
TCK-0000125,ACC-104366,2025-04-14,Feature Request,Low,13.5,4.0
TCK-0000126,ACC-104366,2024/03/17,Billing,Low,26.1,3.0
TCK-0000127,ACC-104366,2024-05-30,Other,Low,0.4,2.0
TCK-0000128,ACC-104366,2025-11-30,Feature Request,Medium,11.7,5.0
TCK-0000129,ACC-101383,2023-10-09,Account Access,Medium,1.9,4.0
TCK-0000130,ACC-101383,2025-06-22,Onboarding,Urgent,5.4,
TCK-0000131,ACC-101383,2025-12-28,Integration Help,Low,12.9,1.0
TCK-0000132,ACC-101383,2024-01-04,Onboarding,High,9.9,5.0
TCK-0000133,ACC-101383,2022-08-22,Other,Low,0.2,5.0
TCK-0000134,ACC-101383,17/03/2024,Account Access,Medium,9.6,4.0
TCK-0000135,ACC-101383,2024-05-06,Account Access,Medium,5.7,4.0
TCK-0000136,ACC-103941,2022-04-03,Bug Report,Low,2.1,3.0
TCK-0000137,ACC-103941,2022-11-01,Account Access,Low,25.3,5.0
TCK-0000138,ACC-103941,07/01/2023,Onboarding,Urgent,0.1,2.0
TCK-0000139,ACC-103941,2023-12-11,Integration Help,Medium,,3.0
TCK-0000140,ACC-103941,08-Jun-2022,Feature Request,Low,9.0,5.0
TCK-0000141,ACC-103941,2025-07-10,Bug Report,Medium,5.5,4.0
TCK-0000142,ACC-103941,2023-11-03,Integration Help,Low,0.4,3.0
TCK-0000143,ACC-104356,11/02/2025,Billing,Low,14.2,2.0
TCK-0000144,ACC-104356,2025-08-17,Bug Report,High,2.3,5.0
TCK-0000145,ACC-104356,10/18/2025,Onboarding,Low,4.0,5.0
TCK-0000146,ACC-104356,2025-03-14,Integration Help,Urgent,29.8,1.0
TCK-0000147,ACC-104356,10/12/2024,Other,High,19.8,5.0
TCK-0000148,ACC-104447,2022-06-04,Feature Request,Urgent,,4.0
TCK-0000149,ACC-104447,2022-07-21,Bug Report,Medium,6.5,5.0
TCK-0000150,ACC-104447,2022-03-29,Onboarding,Medium,5.3,3.0
TCK-0000151,ACC-104447,2023/11/05,Onboarding,Low,2.9,3.0
TCK-0000152,ACC-104447,2023-04-27,Bug Report,Medium,7.7,5.0
TCK-0000153,ACC-104447,2022-04-15,Other,Medium,17.1,
TCK-0000154,ACC-101747,2025-12-22,Feature Request,Low,6.2,5.0
TCK-0000155,ACC-101747,2024-11-14,Performance,Low,,3.0
TCK-0000156,ACC-101747,2026-03-28,Other,High,0.3,4.0
TCK-0000157,ACC-101747,2024-11-19,Performance,Low,13.9,2.0
TCK-0000158,ACC-101747,02/03/2025,Other,Low,,5.0
TCK-0000159,ACC-101747,05-Jun-2025,Account Access,Medium,24.7,5.0
TCK-0000160,ACC-104650,2022-03-31,Other,Medium,6.3,3.0
TCK-0000161,ACC-104650,2025/03/03,Bug Report,Low,,3.0
TCK-0000162,ACC-104650,2026-03-20,Performance,Urgent,1.8,5.0
TCK-0000163,ACC-104650,2022/07/14,Bug Report,High,5.7,5.0
TCK-0000164,ACC-104650,03/20/2026,Account Access,High,3.5,4.0
TCK-0000165,ACC-104650,26/12/2024,Account Access,Low,3.8,3.0
TCK-0000166,ACC-104650,2025-07-27,Feature Request,Medium,20.3,
TCK-0000167,ACC-102441,2025-08-07,Account Access,Urgent,0.1,4.0
TCK-0000168,ACC-102441,2025/07/17,Billing,Low,45.8,4.0
TCK-0000169,ACC-102441,2025-07-02,Account Access,Low,0.9,4.0
TCK-0000170,ACC-103624,2025/10/20,Billing,High,12.8,4.0
TCK-0000171,ACC-103624,12/01/2022,Feature Request,Urgent,3.5,5.0
TCK-0000172,ACC-103624,2025-11-26,Feature Request,Medium,13.3,3.0
TCK-0000173,ACC-103624,2023/06/09,Other,Medium,25.6,3.0
TCK-0000174,ACC-103711,11/08/2025,Account Access,Medium,,4.0
TCK-0000175,ACC-103711,2025-05-08,Bug Report,High,12.0,5.0
TCK-0000176,ACC-103711,04/27/2025,Bug Report,Urgent,0.2,3.0
TCK-0000177,ACC-103711,2025-04-02,Performance,Medium,2.2,
TCK-0000178,ACC-103711,2024-02-17,Other,Medium,8.4,5.0
TCK-0000179,ACC-103711,12/10/2025,Account Access,Medium,10.3,4.0
TCK-0000180,ACC-103711,2024-05-17,Other,Medium,7.8,5.0
TCK-0000181,ACC-103711,24-Jan-2024,Account Access,Low,7.1,3.0
TCK-0000182,ACC-105278,11-Aug-2022,Bug Report,Low,1.9,2.0
TCK-0000183,ACC-105278,2024-09-10,Performance,Medium,10.4,5.0
TCK-0000184,ACC-103982,2025-05-19,Integration Help,Low,2.5,4.0
TCK-0000185,ACC-103982,09/05/2025,Feature Request,High,5.9,5.0
TCK-0000186,ACC-101088,2023-09-25,Account Access,High,6.9,4.0
TCK-0000187,ACC-101088,12/07/2023,Other,Low,61.5,
TCK-0000188,ACC-102934,2024-05-13,Feature Request,Low,0.3,5.0
TCK-0000189,ACC-102934,2024-09-26,Feature Request,Low,4.0,2.0
TCK-0000190,ACC-102934,2025-11-20,Integration Help,High,5.7,4.0
TCK-0000191,ACC-105974,25-Jul-2025,Other,Low,44.2,
TCK-0000192,ACC-105974,2025-01-06,Onboarding,Low,6.6,4.0
TCK-0000193,ACC-105974,22/08/2025,Account Access,Urgent,1.7,4.0
TCK-0000194,ACC-105974,2024/12/02,Integration Help,Medium,-35.1,
TCK-0000195,ACC-105974,13-May-2025,Performance,Medium,17.2,5.0
TCK-0000196,ACC-100534,10-Dec-2025,Integration Help,Low,,4.0
TCK-0000197,ACC-100534,2025-08-05,Performance,Low,7.2,4.0
TCK-0000198,ACC-100534,2025-11-09,Feature Request,High,0.2,1.0
TCK-0000199,ACC-105441,05/10/2024,Integration Help,Low,3.2,2.0
TCK-0000200,ACC-105441,06/04/2024,Integration Help,Medium,27.1,5.0
TCK-0000201,ACC-105441,05/17/2024,Account Access,Medium,,4.0
TCK-0000202,ACC-105441,2024-05-26,Onboarding,Low,12.8,3.0
TCK-0000203,ACC-105441,21-Jun-2024,Performance,Low,60.4,
TCK-0000204,ACC-101832,2023-09-08,Onboarding,Low,54.3,4.0
TCK-0000205,ACC-101832,2026-03-07,Billing,Medium,13.2,2.0
TCK-0000206,ACC-101832,2022-03-14,Performance,Low,13.8,
TCK-0000207,ACC-101832,03/09/2024,Onboarding,Low,5.3,5.0
TCK-0000208,ACC-101832,2026-02-17,Feature Request,Medium,31.6,5.0
TCK-0000209,ACC-101832,2024-10-14,Other,Medium,8.2,1.0
TCK-0000210,ACC-101832,2023-01-29,Performance,Medium,17.5,1.0
TCK-0000211,ACC-101832,29-Mar-2022,Billing,Low,8.7,5.0
TCK-0000212,ACC-101832,04/28/2024,Integration Help,Urgent,1.1,4.0
TCK-0000213,ACC-101832,2022-03-06,Other,Low,28.1,2.0
TCK-0000214,ACC-102603,2025-02-25,Bug Report,Medium,3.0,5.0
TCK-0000215,ACC-102603,2025-10-17,Bug Report,Low,31.6,5.0
TCK-0000216,ACC-102603,2025-11-10,Account Access,High,3.8,5.0
TCK-0000217,ACC-102603,03/14/2025,Bug Report,Low,5.3,4.0
TCK-0000218,ACC-104518,2025-11-14,Onboarding,High,6.3,5.0
TCK-0000219,ACC-104518,2024/09/13,Billing,Medium,4.0,
TCK-0000220,ACC-104518,2025-01-13,Feature Request,Low,14.8,4.0
TCK-0000221,ACC-104518,2025-03-02,Integration Help,Medium,1.1,4.0
TCK-0000222,ACC-105995,2023-04-06,Bug Report,Low,7.7,4.0
TCK-0000223,ACC-105995,18-Aug-2025,Performance,Medium,,5.0
TCK-0000224,ACC-105995,12/08/2024,Onboarding,High,5.4,5.0
TCK-0000225,ACC-100879,2026-05-04,Billing,Low,40.1,3.0
TCK-0000226,ACC-100879,2025/06/22,Integration Help,Medium,5.4,4.0
TCK-0000227,ACC-100879,18/12/2024,Integration Help,High,6.1,4.0
TCK-0000228,ACC-105890,2024-02-03,Bug Report,Low,1.9,3.0
TCK-0000229,ACC-105890,2023-01-20,Bug Report,Medium,78.1,4.0
TCK-0000230,ACC-105890,2024-05-17,Feature Request,Medium,9.0,2.0
TCK-0000231,ACC-105890,2023-06-09,Onboarding,Low,18.2,
TCK-0000232,ACC-105890,2024-03-18,Billing,Medium,1.1,3.0
TCK-0000233,ACC-105890,2023-10-21,Account Access,Low,9.9,4.0
TCK-0000234,ACC-105890,2024-05-11,Feature Request,Medium,4.8,4.0
TCK-0000235,ACC-105890,2024-04-20,Other,Medium,10.2,
TCK-0000236,ACC-105890,2024-11-02,Integration Help,High,16.2,4.0
TCK-0000237,ACC-103289,25/08/2022,Feature Request,High,10.5,
TCK-0000238,ACC-103289,07/04/2023,Bug Report,Low,2.4,
TCK-0000239,ACC-103289,2023-10-10,Billing,Low,0.7,5.0
TCK-0000240,ACC-103289,2022-12-31,Account Access,Urgent,0.5,5.0
TCK-0000241,ACC-103289,12/13/2022,Account Access,Medium,,4.0
TCK-0000242,ACC-103289,27/07/2023,Integration Help,Low,33.8,4.0
TCK-0000243,ACC-102002,08/22/2023,Integration Help,Medium,1.0,5.0
TCK-0000244,ACC-102002,2023-06-30,Billing,High,43.8,2.0
TCK-0000245,ACC-102002,07/29/2023,Feature Request,Medium,6.8,4.0
TCK-0000246,ACC-102002,2023/08/28,Feature Request,High,5.0,4.0
TCK-0000247,ACC-102002,17-Aug-2023,Billing,Medium,23.4,4.0
TCK-0000248,ACC-100808,2022-11-18,Billing,Low,9.8,5.0
TCK-0000249,ACC-100808,11-Aug-2025,Bug Report,Urgent,9.8,3.0
TCK-0000250,ACC-100808,2023-10-21,Integration Help,Low,37.5,4.0
TCK-0000251,ACC-100808,2026-04-06,Billing,High,1.2,4.0
TCK-0000252,ACC-101379,01/15/2026,Onboarding,High,24.9,1.0
TCK-0000253,ACC-105818,2024-09-13,Billing,Medium,13.5,2.0
TCK-0000254,ACC-105818,2024-10-15,Onboarding,Low,11.9,5.0
TCK-0000255,ACC-105751,2024-08-12,Bug Report,High,28.1,1.0
TCK-0000256,ACC-105751,03-Mar-2025,Bug Report,Medium,18.9,5.0
TCK-0000257,ACC-105751,27-Jul-2025,Bug Report,Low,1.6,4.0
TCK-0000258,ACC-105751,2023-12-18,Onboarding,Low,2.6,3.0
TCK-0000259,ACC-105751,31-Jul-2024,Billing,Medium,2.8,
TCK-0000260,ACC-105751,2024-07-15,Feature Request,Medium,9.8,4.0
TCK-0000261,ACC-105751,2024-09-19,Feature Request,Medium,54.7,4.0
TCK-0000262,ACC-105751,11/01/2024,Other,Low,7.7,5.0
TCK-0000263,ACC-105751,2024-12-30,Bug Report,High,4.9,1.0
TCK-0000264,ACC-105751,12/08/2024,Account Access,Medium,8.1,
TCK-0000265,ACC-100553,01/11/2025,Feature Request,Low,25.4,4.0
TCK-0000266,ACC-100553,17/10/2025,Onboarding,Low,26.5,
TCK-0000267,ACC-100553,2026/04/09,Integration Help,High,5.6,5.0
TCK-0000268,ACC-100553,04/06/2026,Feature Request,Urgent,-7.1,4.0
TCK-0000269,ACC-104793,2025-09-06,Performance,Low,12.9,
TCK-0000270,ACC-104793,2025/04/24,Feature Request,Medium,-6.0,4.0
TCK-0000271,ACC-104793,2025-05-08,Bug Report,Medium,13.4,3.0
TCK-0000272,ACC-104793,2025-12-24,Other,Medium,34.5,4.0
TCK-0000273,ACC-104793,2026-03-10,Billing,High,2.5,1.0
TCK-0000274,ACC-104793,2025-12-03,Billing,High,36.3,5.0
TCK-0000275,ACC-103246,22/07/2025,Onboarding,Medium,17.3,
TCK-0000276,ACC-103246,2025-03-28,Billing,Low,11.4,3.0
TCK-0000277,ACC-103246,2026-01-28,Account Access,Low,5.1,4.0
TCK-0000278,ACC-103246,2023-02-26,Billing,Low,47.1,1.0
TCK-0000279,ACC-103246,2024-09-07,Account Access,Low,21.5,1.0
TCK-0000280,ACC-103246,03/02/2024,Billing,Low,4.6,5.0
TCK-0000281,ACC-103246,03/25/2025,Bug Report,Medium,27.8,3.0
TCK-0000282,ACC-103246,2024-11-15,Account Access,Medium,6.9,5.0
TCK-0000283,ACC-104399,03-Jan-2024,Billing,Low,9.2,5.0
TCK-0000284,ACC-104399,2023-12-14,Bug Report,Low,11.9,3.0
TCK-0000285,ACC-104399,21/11/2023,Performance,Low,5.6,4.0
TCK-0000286,ACC-104399,2024-03-14,Onboarding,Urgent,2.0,5.0
TCK-0000287,ACC-103157,07/26/2024,Onboarding,Medium,24.9,1.0
TCK-0000288,ACC-103157,14/12/2023,Account Access,Medium,15.9,4.0
TCK-0000289,ACC-103157,2024-12-31,Integration Help,Low,30.8,4.0
TCK-0000290,ACC-103157,02/15/2025,Billing,Low,4.4,5.0
TCK-0000291,ACC-103157,2025-01-13,Performance,Medium,6.7,4.0
TCK-0000292,ACC-103157,2024-06-30,Performance,Urgent,5.2,3.0
TCK-0000293,ACC-103539,2024-12-28,Feature Request,Low,11.7,5.0
TCK-0000294,ACC-103539,2025/08/17,Other,Low,4.9,
TCK-0000295,ACC-103539,29/05/2026,Other,Low,15.2,4.0
TCK-0000296,ACC-103539,2026/01/08,Account Access,High,,
TCK-0000297,ACC-102517,2025-11-18,Bug Report,Low,5.7,3.0
TCK-0000298,ACC-102517,2025-12-16,Integration Help,Low,-9.0,3.0
TCK-0000299,ACC-102517,03/11/2026,Bug Report,Low,4.3,4.0
TCK-0000300,ACC-102517,2025-09-04,Billing,Medium,3.7,
TCK-0000301,ACC-102517,2025-07-27,Other,Low,5.0,
TCK-0000302,ACC-104504,08/21/2024,Onboarding,High,19.0,5.0
TCK-0000303,ACC-105610,2024-08-19,Feature Request,High,17.0,
TCK-0000304,ACC-105610,2024-10-14,Performance,Medium,18.5,5.0
TCK-0000305,ACC-105610,2024-04-02,Bug Report,Medium,21.8,4.0
TCK-0000306,ACC-102364,05/16/2025,Account Access,High,21.9,
TCK-0000307,ACC-102364,2025-02-24,Feature Request,Low,8.9,3.0
TCK-0000308,ACC-102364,13/10/2025,Performance,Low,26.6,5.0
TCK-0000309,ACC-102364,2026-03-06,Account Access,Medium,1.5,4.0
TCK-0000310,ACC-102364,2023-07-11,Integration Help,Urgent,3.6,3.0
TCK-0000311,ACC-100535,2025-08-15,Bug Report,Low,22.9,5.0
TCK-0000312,ACC-100535,2025-05-19,Bug Report,Low,4.6,4.0
TCK-0000313,ACC-103857,03/28/2025,Performance,High,13.4,2.0
TCK-0000314,ACC-103857,12/08/2025,Billing,Urgent,1.8,5.0
TCK-0000315,ACC-103857,2025/07/31,Billing,Medium,29.8,4.0
TCK-0000316,ACC-101421,20/05/2026,Onboarding,Medium,4.0,4.0
TCK-0000317,ACC-101421,05/23/2026,Feature Request,High,2.6,5.0
TCK-0000318,ACC-101421,2026/01/18,Integration Help,Low,12.9,5.0
TCK-0000319,ACC-101421,2025-07-01,Billing,Medium,17.4,
TCK-0000320,ACC-101543,17-Mar-2026,Billing,Medium,10.9,5.0
TCK-0000321,ACC-101543,2026-04-06,Onboarding,High,29.9,5.0
TCK-0000322,ACC-101543,2026-01-13,Billing,Medium,1.2,
TCK-0000323,ACC-101543,2025-09-21,Account Access,Medium,1.9,5.0
TCK-0000324,ACC-101543,2026-03-05,Feature Request,Low,4.0,5.0
TCK-0000325,ACC-104722,2026-05-16,Other,Low,3.4,3.0
TCK-0000326,ACC-104722,08/12/2023,Feature Request,Low,2.7,2.0
TCK-0000327,ACC-104722,2023-07-27,Onboarding,Urgent,0.3,2.0
TCK-0000328,ACC-104722,2023-05-16,Other,Low,17.3,
TCK-0000329,ACC-104722,2024-02-27,Account Access,Low,33.3,3.0
TCK-0000330,ACC-104722,2025-05-15,Billing,Medium,,5.0
TCK-0000331,ACC-103381,2025-03-29,Account Access,Medium,49.3,5.0
TCK-0000332,ACC-103381,2023-09-26,Feature Request,Low,19.1,5.0
TCK-0000333,ACC-103381,2026-01-10,Account Access,Medium,9.3,3.0
TCK-0000334,ACC-103381,11/10/2025,Integration Help,High,31.8,3.0
TCK-0000335,ACC-103381,2022-11-19,Integration Help,Low,0.5,5.0
TCK-0000336,ACC-103381,18-Mar-2023,Performance,Medium,31.2,
TCK-0000337,ACC-104773,2024-07-23,Feature Request,Medium,15.9,4.0
TCK-0000338,ACC-104773,2024-09-18,Integration Help,Low,2.0,5.0
TCK-0000339,ACC-104773,2024-05-21,Onboarding,Low,0.2,
TCK-0000340,ACC-104773,2025-03-10,Other,Medium,21.0,5.0
TCK-0000341,ACC-104773,05/21/2025,Performance,Medium,,3.0
TCK-0000342,ACC-104773,2026-02-27,Feature Request,Urgent,2.7,5.0
TCK-0000343,ACC-101512,11-Apr-2026,Account Access,Medium,18.8,3.0
TCK-0000344,ACC-101512,05/29/2026,Other,Low,45.6,4.0
TCK-0000345,ACC-101512,27/03/2026,Performance,High,34.0,5.0
TCK-0000346,ACC-101512,2025-09-18,Onboarding,Low,6.8,4.0
TCK-0000347,ACC-101512,19/10/2025,Bug Report,Low,20.7,
TCK-0000348,ACC-105339,15/11/2025,Other,High,18.0,3.0
TCK-0000349,ACC-105339,04-Dec-2024,Account Access,Medium,24.8,3.0
TCK-0000350,ACC-105339,06-May-2025,Other,Low,10.9,5.0
TCK-0000351,ACC-100576,2023-08-04,Billing,High,11.5,5.0
TCK-0000352,ACC-100576,2023-03-15,Integration Help,Low,3.5,3.0
TCK-0000353,ACC-100576,04/10/2023,Performance,High,4.7,5.0
TCK-0000354,ACC-100576,09-Apr-2023,Feature Request,Medium,11.6,
TCK-0000355,ACC-103567,01/26/2025,Account Access,Medium,26.3,4.0
TCK-0000356,ACC-103567,2024-07-04,Performance,High,12.3,5.0
TCK-0000357,ACC-103745,19-Nov-2023,Onboarding,Urgent,15.8,3.0
TCK-0000358,ACC-103745,10/05/2024,Performance,High,2.8,4.0
TCK-0000359,ACC-103745,2023-10-10,Account Access,High,15.0,4.0
TCK-0000360,ACC-102787,19-Mar-2025,Performance,Medium,10.1,5.0
TCK-0000361,ACC-102787,2024-11-07,Billing,Low,14.2,5.0
TCK-0000362,ACC-102787,30/07/2024,Integration Help,High,4.9,5.0
TCK-0000363,ACC-102787,2024-08-30,Account Access,Low,13.2,
TCK-0000364,ACC-102787,2024-09-26,Feature Request,Urgent,18.9,3.0
TCK-0000365,ACC-102787,2024-07-20,Billing,Low,10.4,1.0
TCK-0000366,ACC-102787,2025-04-18,Other,Medium,3.3,4.0
